feature,cont_0,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6
shots_per90,0.7037977244995709,-0.4928881065556175,-0.0034260424940751196,-0.2544147045372239,-0.11035245876970973,-0.004421301032743536,-0.014502652165635434
shots_on_target_per90,0.8186922747229282,-0.23490962158704565,-0.1680874503219438,-0.34342726077709423,-0.15089529210749875,0.04751205333252024,0.1060804658172178
shots_inside_box_per90,0.7409077520884345,-0.29646899771235147,-0.2651269993402363,-0.4100402966561671,-0.1882473806253218,0.04237822320691435,0.03996623831784998
shots_outside_box_per90,0.7736208267182528,0.16779815956979713,-0.020243190857267727,0.0573285388374714,0.025622664766928697,0.14094838571898952,0.03753882048953398
npxg_per90,0.5747819241011234,-0.5610289522158617,-0.07797550644374523,-0.42144547325617165,-0.1592144783549415,-0.10717861300268708,-0.045274660427346874
npxg_overperformance,-0.0700860724280532,0.18668078067662677,0.2358558419863977,0.13834133626464837,0.1680576185928033,-0.11127934446152365,0.7973945624740894
goal_conversion_pct,0.24347594802970396,-0.21650614516615194,0.12545239211543538,-0.3349832749781533,-0.018845766780789967,-0.2630617851869952,0.6149435251148345
big_chances_missed_per90,0.624434873776671,-0.35175611668166473,-0.22607584551826992,-0.436843359856423,-0.21620886442791276,-0.04527044587477616,-0.09738221606869563
key_passes_per90,0.689362629765485,-0.060563231315587655,0.44457428379389646,0.3515505259610842,-0.09657882041993743,-0.02878370700614545,-0.04758165735680946
xag_per90,0.6825512937672708,-0.1085712179379397,0.4255112967680677,0.2810076046787733,-0.18945538693129638,-0.013938563575563967,-0.05536309108315445
attempt_assists_per90,0.8590792149329463,0.2634174985317004,0.11760187982315888,0.2055025975095381,-0.11657136244996442,0.0601055427580084,0.011622879254511925
big_chances_created_per90,0.7903431580735895,0.16816097278407438,0.15292306136872205,0.15621794302397268,-0.231960860862214,0.05378761024014665,0.012120714408080263
xg_chain_per90,0.656269781465728,-0.15718902061184337,0.4685424504568474,-0.26200777030187405,-0.13990135294550562,-0.18321128619420116,-0.14824123385446686
xg_buildup_per90,0.12292520291650523,0.4189835099561024,0.6496978621842737,-0.16635144474349714,-0.03713415157658147,-0.18131808051537562,-0.16580080807549347
pass_to_assist_per90,0.3194752995881694,0.10010403228236057,0.2361071120683529,0.0909111894569751,-0.20332095764742084,-0.12336316389983516,0.08770534791352814
passes_per90,0.08053472932136,0.9004167653940931,0.060864376645146503,-0.2599208681315671,-0.056901802604469774,-0.1709018638340515,-0.024518905856483034
pass_completion_pct,-0.3046294992088695,0.49712598744182945,0.49193050730131577,-0.2313568460682941,0.2189719468668794,0.11633832376491343,-0.044183022604613834
passes_final_third_per90,0.6724535463042217,0.5841352652176642,0.24740794830897594,-0.030479347933685907,0.05459429264043192,-0.06253754763896388,-0.03916246606182046
passes_opp_half_per90,0.4400505767165332,0.7748646746827866,0.23638523046841667,-0.15678330182600647,0.04726311114569022,-0.1141117840170829,-0.040217548134813805
long_balls_per90,-0.18300635043066096,0.7959113495806817,-0.1310334826525774,-0.0910804089722099,-0.2584218890200077,-0.1846014719737894,0.008649237037059889
long_balls_pct,0.3519469428904398,0.01612453887372355,0.354347895095293,-0.4356579416371747,0.4495975438726092,0.04004863855077374,-0.05041459630760221
